id,name,translation,parent_id
31751,Agriculture,Agricultura,
31752,Agriproduct processing,Procesamiento de productos agrícolas,34738
31753,Agris,AGRIS,
31757,Agroforestry,agrosilvicultura,
31759,Agroindustry,agroindustria,
31760,Agronomists,agronomos,36055
31761,Agronomy,agronomia,35000
31765,Aid coordination,Coordinación de la ayuda,
31766,Aid evaluation,Evaluación de la ayuda,
31767,Aid financing,Financiamiento de la ayuda,34108
31768,Aid in kind,Ayuda en especie,32866
31769,Aid institutions,Instituciones de ayuda,
31770,Aid programmes,Programas de ayuda,
31771,Aido,OADI,31888
31772,Aids,Sida,34153
31773,Aids to navigation,Ayudas para la navegación,36746
31774,Aims of education,Fines de la educación,
31776,Air piracy,Piratería aérea,34682
31777,Air pollutants,Contaminantes atmosféricos,36970
31778,Air pollution,Contaminación atmosférica,36627
31779,Air quality,Calidad del aire,33269
31780,Air safety,Seguridad aérea,35109
31781,Air traffic,Trafico aéreo,36714
31782,Air traffic control,Control del trafico aéreo,
31783,Air transport,Transporte aéreo,34884
31784,Aircraft,Aviones,34936
31785,Aircraft industry,Industria aeronáutica,33879
31786,Airlines,Lineas aéreas,31783
31787,Airports,Aeropuertos,36747
31788,Airspace,Espacio aéreo,36347
31789,Albania,Albania,33009
31790,Albanian language,Lengua albanesa,34080
31791,Albanians,Albaneses,
31792,Alcohol,Alcohol,
31793,Alcoholic beverages,Bebidas alcohólicas,35059
31794,Alcoholism,Alcoholismo,35442
31795,Alecso,ALECSO,31888
31796,Algae,Algas,31883
31797,Algeria,Argelia,31886
31798,Algerians,Argelinos,
31799,Alienation,Alienación,
31801,Alliances,Alianzas,
31802,Alloys,Aleaciones,
31803,Almanacs,Almanaques,36116
31804,Almonds,Almendras,32373
31805,Altaic languages,Lenguas altaicas,33311
31807,Alternative sentences,Sentencias alternativas,35313
31808,Alternative technology,Tecnología alternativa,31876
31809,Altitude,Altitud,
31810,Aluminium,Aluminio,35064
31811,Aluminium industry,Industria del aluminio,34794
31813,Alzheimer's disease,Enfermedad de alzheimer,34777
31815,American organizations,Organizaciones americanas,35817
31816,Americans,Estadounidenses,
31817,Americas,Américas,
31818,Amerindian languages,Lenguas amerindias,33739
31819,Amerindians,Amerindios,
31820,Amharic language,Lengua amharica,36109
31821,Amino acids,Aminoácidos,34192
31822,Ammonia,Amoniaco,34193
31823,Amortization,Amortización,33469
31824,Anaemia,Anemia,36765
31825,Anatomy,Anatomía,34752
31826,Andean group,Grupo andino,34434
31829,Andean region,Región andina,36325
31830,Andorra,Andorra,37014
31831,Angola,Angola,36334
31832,Angolans,Angoleños,
31833,Anguilla,Anguila,32251
31834,Animal breeding,Reproducción de animales,33717
31835,Animal diseases,Enfermedades animales,36765
31836,Animal ecology,Ecología animal,34672
31837,Animal fats,Grasas animales,31846
31838,Animal feeding,Alimentación animal,
31839,Animal fibres,Fibras animales,31846
31840,Animal genetics,Genética animal,
31841,Animal husbandry,Zootecnia,31751
31842,Animal nutrition,Nutrición animal,35122
31843,Animal oils,Aceites de origen animal,31846
31844,Animal power,Energía animal,31849
31845,Animal production,Producción de animales,31735
31846,Animal products,Productos de origen animal,31737
31847,Animal protection,Protección de animales,35002
31848,Animal research,Investigación sobre animales,35298
31849,Animal resources,Recursos animales,36136
31850,Animal wastes,Desperdicios de origen animal,34144
31851,Animals,Animales,
31852,Animism,Animismo,35826
31853,Animists,animistas,
31854,Annamese language,Lengua anamita,36620
31855,Annotated bibliographies,Bibliografías anotadas,
31856,Annual reports,Informes anuales,35644
31857,Antarctic ocean,Océano antártico,35153
31858,Antarctica,Antártida,35445
31859,Anthropologists,Antropólogos,36055
31860,Anthropology,Antropología,36254
31861,Anthropometry,antropometria,34732
31862,Antibiotics,Antibióticos,34756
31863,Antigua and barbuda,Antigua y barbuda,32251
31865,Antisemitism,Antisemitismo,35748
31866,Antitrust legislation,Legislación antitrust,33062
31867,Apartheid,Apartheid,35748
31868,Apdac,APDAC,31935
31869,Apiculture,Apicultura,31841
31870,Apo,Organización asiática de productividad,31935
31871,Appellation of origin,Denominación de origen,
31872,Apples,Manzanas,32373
31873,Applied research,Investigación aplicada,35298
31874,Apprentices,Aprendices,
31875,Apprenticeship,Aprendizaje,35569
31876,Appropriate technology,Tecnología adecuada,35030
31877,Appu,APPU,31935
31878,Apricots,Albaricoques,32373
31879,Aptitudes,Aptitudes,
31880,Aquaculture,acuacultura,31841
31881,Aquatic environment,Medio ambiente acuático,35379
31882,Aquatic fauna,Fauna acuática,
31883,Aquatic plants,Plantas acuáticas,34757
31884,Aqueducts,Acueductos,33989
31886,Arab countries,Países árabes,
31887,Arab gulf states,Estados árabes del golfo,31886
31888,Arab organizations,Organizaciones árabes,35817
31889,Arabic language,Lengua árabe,36109
31890,Arable land,Tierra cultivable,32817
31891,Arabs,Árabes,
31892,Arbitration,Arbitraje,32933
31893,Archaeological sites,Sitios arqueológicos,33903
31894,Archaeology,Arqueología,
31895,Architects,Arquitectos,35633
31896,Architecture,Arquitectura,33480
31897,Archives,Archivos,34173
31898,Arctic ocean,Océano ártico,35153
31899,Arctic region,Región ártica,35445
31901,Argentina,Argentina,34472
31902,Argentines,Argentinos,
31903,Arid zone,Zona árida,32404
31904,Armament,armamentismo,
31905,Armed forces,Fuerzas armadas,
31906,Armenian language,Lengua armenia,34301
31907,Armistice,Armisticio,
31908,Arms embargo,Embargo de armas,
31913,Arsenic,Arsénico,36104
31914,Art,Arte,
31915,Art education,Educación artística,36924
31917,Articles,Artículos,35578
31918,Artificial insemination,Inseminación artificial,31923
31919,Artificial intelligence,Inteligencia artificial,32535
31921,Artificial lakes,Lagos artificiales,33989
31923,Artificial procreation,Procreación artificial,35849
31924,Artistic creation,Creación artística,
31925,Artists,Artistas,35633
31926,Arts,Artes,
31928,Asbestos,Asbesto,35067
31929,Asean,Asean,31935
31930,Asean countries,Países del asean,
31931,Asia,Asía,
31932,Asia and the pacific,Asía y el pacifico,
31933,Asian development bank,Banco asiático de desarrollo,31935
31934,Asian languages,Lenguas asiáticas,33739
31935,Asian organizations,Organizaciones asiáticas,35817
31936,Asians,Asiáticos,
31938,Assembly lines,Cadenas de montaje,
31939,Assembly-line work,Línea de montaje,37080
31940,Assets,Bienes,
31941,Associations,Asociaciones,35829
31942,Asthma,Asma,35889
31943,Astronautics,Astronáutica,36346
31944,Astronomy,Astronomía,36346
31945,Atheism,Ateísmo,
31946,Atlantic ocean,Océano atlántico,35153
31947,Atlases,Atlas,
31948,Atmosphere,Atmósfera,35379
31950,Atmospheric pressure,Presión atmosférica,
31954,Attitudes,Actitudes,
31955,Auctions,Subastas,
31956,Audience,Publico,
31957,Audience rating,Evaluación del publico,31766
31958,Audiovisual aids,Medios audiovisuales,
31959,Audiovisual centres,Centros audiovisuales,34173
31960,Audiovisual materials,Material audiovisual,36845
31961,Audiovisual technology,Tecnología audiovisual,31876
31962,Audit offices,Tribunales de cuentas,
31963,Auditing,Auditoria,
31964,Austerity policy,Política de austeridad,
31965,Australia,Australia,35151
31966,Australian aboriginal languages,Lenguas aborígenes australianas,31970
31967,Australians,Australianos,
31968,Austria,Austria,37014
31969,Austrians,Austriacos,
31970,Austronesian and oceanic languages,Lenguas de austronesia y Oceanía,33739
31971,Authoritarianism,Autoritarismo,35471
31972,Authors,Autores,35633
31973,Automatic control,Control automático,
31974,Automation,Automatización,
31975,Automobile industry,Industria automotriz,34935
31976,Automobile service,Servicio automotor,36120
31977,Automobiles,Automóviles,34936
31980,Auxiliary workers,Trabajadores auxiliares,32272
31981,Aviculture,Avicultura,31841
31982,Aymara language,Lengua aimara,36325
31983,Azerbaijani language,Lengua azerbaijani,31805
31984,Azores,Azores,
31985,Bacteria,Bacterias,34824
31986,Bacteriological weapons,Armas bacteriológicas,31953
31987,Bacteriology,Bacteriología,34817
31988,Bagasse,Bagazo,
31989,Bags,Sacos,36743
31990,Bahamas,Bahamas,32251
31991,Bahamians,bahameses,
31992,Bahrain,bahrein,31887
31993,Bakery industry,Industria panadera,
31994,Bakery products,Productos de panadería,35322
31995,Baking,Horneado,33591
31996,Balance of payments,Balanza de pagos,
31997,Balance of trade,Balanza comercial,31996
31998,Bambara language,Lengua bambara,31682
31999,Bamboo,Bambú,34757
32000,Banana trees,Bananos,33675
32001,Bananas,Bananas,32373
32002,Bangladesh,bangladesh,36327
32003,Bank deposits,Depósitos bancarios,34240
32004,Bank loans,Prestamos bancarios,34240
32005,Bank rate,Tasa de redescuento,34229
32006,Bank reserves,Reservas bancarias,34240
32007,Banking,Operaciones bancarias,36120
32008,Banking systems,Sistemas bancarios,34240
32009,Bankruptcy,Quiebra,
32010,Banks,Bancos,33467
32011,Bantu languages,Lenguas bantúes,31682
32012,Barbadians,Barbadenses,
32013,Barbados,Barbados,32251
32014,Barefoot doctors,Médicos descalzos,
32015,Barley,Cebada,32310
32016,Barter,Trueque,31747
32017,Basic education,Educación básica,
32018,Basic health,Salud básica,34778
32019,Basic needs,Necesidades básicas,33220
32020,Basic research,Investigación básica,35298
32021,Basic training,Capacitación básica,
32022,Basins,Cuencas,34444
32023,Basque language,Lengua vasca,32284
32024,Bauxite,Bauxita,35067
32025,Beans,Frijoles,33772
32026,Beef,Carne de res,34736
32028,Beer,Cerveza,35059
32029,Beet sugar,Azúcar de remolacha,32203
32030,Behaviour,Comportamiento,
32031,Behavioural sciences,Ciencias del comportamiento,36254
32032,Belgians,Belgas,
32033,Belgium,Bélgica,37014
32034,Belief,Creencia,
32035,Belize,Belice,32303
32036,Belizeans,Beliceños,
32037,Benefit analysis,Análisis de beneficios,
32038,Benefit plans,Sistemas de previsión social,
32039,Benelux,benelux,32743
32040,Bengali language,Lengua bengalí,34075
32041,Bengalis,Bengalíes,
32042,Benin,Benín,33664
32043,Beninese,Benineses,
32044,Benzene,Benceno,33990
32045,Bermuda,Bermuda,35080
32046,Beryllium,Berilio,35064
32047,Beverage industry,Industria de elaboración de bebidas,
32048,Beverages,Bebidas,
32049,Bhutan,BHUTAN,36327
32050,Bhutanese,bhutaneses,
32051,Bibliographic services,Servicios bibliográficos,34173
32052,Bibliographies,Bibliografías,35801
32053,Bicycles,Bicicletas,35069
32054,Bidding,Licitación,
32055,Big game,Caza mayor,37026
32056,Bilateral aid,Ayuda bilateral,32057
32057,Bilateral relations,Relaciones bilaterales,34266
32059,Bilingualism,Bilingüismo,34948
32060,Biochemistry,Bioquímica,34817
32061,Bioclimatology,bioclimatologia,34817
32062,Biodegradation,Biodegradación,
32064,Bioengineering,bioingenieria,
32065,Biogas,BIOGAS,35838
32066,Biographies,Biografiás,35578
32067,Biological control,Control biológico,
32068,Biologists,Biólogos,36055
32069,Biology,Biología,34533
32070,Biomass,biomasa,
32071,Biomass energy,Energía de la biomasa,
32072,Biomedicine,biomedicina,
32073,Biophysics,biofisica,34817
32074,Biosphere,biosfera,35379
32075,Biotechnology,Biotecnología,31876
32076,Birds,Aves,37026
32077,Birth,Nacimiento,
32078,Birth control,Regulación de la natalidad,33397
32079,Birth rate,Tasa de natalidad,
32080,Birth spacing,Espaciamiento de los nacimientos,32078
32081,Bitumens,bitumenes,32575
32083,Black market,Mercado negro,33889
32084,Blacks,Negros,
32085,Blindness,Ceguera,32905
32086,Blockade,Bloqueo,36688
32087,Blood,Sangre,32244
32088,Blood transfusion,Transfusión de sangre,34742
32089,Boarding schools,Internados,35117
32091,Boilermaking,Calderería,34802
32092,Bolivia,Bolivia,31829
32093,Bolivians,Bolivianos,
32095,Bonds,Obligaciones,36086
32097,Book industry,Industria del libro,35718
32098,Book reviews,Reseñas bibliográficas,36077
32100,Books,Libros,34707
32101,Bookselling,Venta de libros,32097
32102,Border integration,Integración fronteriza,
32105,Borrowing,Empréstitos,33477
32106,Botanical gardens,Jardines botánicos,35673
32107,Botanists,Botánicos,36055
32108,Botany,Botánica,34533
32109,Botswana,botswana,33243
32110,Bottle feeding,Lactancia artificial,31838
32111,Boundaries,Fronteras,
32112,Bourgeoisie,Burguesía,36220
32113,Bovidae,Bóvidos,35941
32114,Boxes,Cajas,36743
32115,Boycott,Boicot,36688
32117,Brain,Cerebro,35015
32118,Brain drain,Éxodo intelectual,
32119,Brazil,Brasil,34472
32120,Brazilians,Brasileños,
32121,Bread,Pan,31994
32122,Breast feeding,Lactancia natural,31838
32123,Brewery,Industria cervecera,32047
32124,Bricks,Ladrillos,32309
32125,Bridges,Puentes,36747
32126,British,Británicos,
32128,British virgin islands,Islas vírgenes británicas,32251
32129,Broadcasting,Radiodifusión,36590
32130,Brunei darussalam,Brunéi Darussalam,36328
32131,Buddhism,Budismo,35826
32132,Buddhists,Budistas,
32133,Budget,Presupuesto,
32134,Budgetary policy,Política presupuestaria,33473
32135,Budgetary resources,Recursos presupuestarios,33075
32136,Budgeting,Elaboración del presupuesto,
32137,Budgeting methods,Métodos presupuestarios,
32138,Buffer stocks,Existencias reguladoras,
32139,Building codes,Códigos de edificación,
32140,Building components,Componentes de edificación,
32141,Building design,Diseño de edificios,31896
32143,Building machinery,Maquinaria para la construcción,34599
32145,Building research,Investigación sobre construcción,34133
32146,Buildings,Construcciones,
32147,Bulgaria,Bulgaria,33009
32148,Bulgarian language,Lengua búlgara,36195
32149,Bulgarians,Búlgaros,
32150,Bulk cargo,Cargas a granel,32249
32151,Bureaucracy,Burocracia,
32152,Burkina faso,Burkina Faso,33664
32154,Burmese,Birmanos,
32155,Burmese language,Lengua birmana,36181
32156,Burns,Quemaduras,37095
32157,Burundi,Burundi,32300
32158,Buses,Autobuses,34936
32159,Business,Negocios,
32161,Business creation,Creación de empresas,
32162,Business cycles,Ciclos económicos,
32163,Business economics,Economía de la empresa,33089
32164,Business financing,Financiamiento de empresas,34108
32166,Business management,Administración de empresas,36969
32167,Business organization,Organización de la empresa,
32168,Business services,Servicios comerciales,36120
32169,Businessmen,Hombres de negocios,35149
32170,Butter,Mantequilla,32757
32172,By-products,Subproductos,35029
32173,Byelorussian ssr,RSS de Bielorrusia,33009
32174,Byelorussians,Bielorrusos,
32176,Cabei,BCIE,31815
32177,Cabi,Cabí,
32178,Cable television,Televisión por cable,36597
32179,Cables,Cables,34795
32181,Cacm,MCCA,31815
32183,Cadastral surveys,Levantamientos catastrales,34611
32184,Cadmium,Cadmio,35064
32185,Caeu,CAEU,31888
32186,Cafrad,CAFRAD,35856
32187,Calcium,Calcio,35064
32188,Calorie deficiency,Deficiencia calorica,34629
32189,Calories,Calorías,
32190,Calves,Terneros,32113
32192,Cambodia,cambodia,36328
32193,Cambodians,Camboyanos,
32194,Camels,Camellos,34559
32195,Cameroon,Camerún,32300
32196,Cameroonians,Cameruneses,
32197,Campgrounds,Terrenos para campamento,36672
32198,Canada,Canadá,35080
32199,Canadians,Canadienses,
32200,Canals,Canales,33989
32201,Canary islands,Islas canarias,
32202,Cancer,Cáncer,34277
32203,Cane sugar,Azúcar de cana,32029
32204,Cannabis,cannabis,34967
32205,Canned food,Conservas alimenticias,35322
32206,Canning industry,Industria conservera,
32207,Cape verde,Cabo verde,37010
32208,Cape verdeans,Caboverdianos,
32209,Capital,Capital,
32211,Capital concentration,Concentracion del capital,33035
32212,Capital costs,Costos de capital,35615
32213,Capital depreciation,Depreciación del capital,
32216,Capital formation,Formación de capital,
32217,Capital gains,Ganancias de capital,35635
32218,Capital goods,Bienes de capital,
32219,Capital income,Renta del capital,34585
32220,Capital inflow,Ingreso de capitales,32224
32221,Capital intensity,Intensidad de capital,
32224,Capital movements,Movimientos de capitales,
32227,Capital punishment,Pena capital,35313
32229,Capital tax,Impuesto al capital,36543
32231,Capital-labour ratio,Relación capital-trabajo,35618
32232,Capital-output ratio,Relación capital-producto,35618
32233,Capitalism,Capitalismo,33083
32234,Capitalist countries,Países capitalistas,
32235,Capitalist enterprises,Empresas capitalistas,35594
32236,Capitalists,Capitalistas,
32237,Carbohydrates,Hidratos de carbono,34193
32238,Carbon dioxide,Dióxido de carbono,33706
32239,Carbonates,Carbonatos,35993
32240,Card files,Ficheros,32275
32241,Cardboard,Cartón,37052
32242,Cardiology,cardiologia,34752
32243,Cardiovascular diseases,Enfermedades cardiovasculares,36765
32244,Cardiovascular system,Sistema cardiovascular,
32245,Cards,Fichas,
32246,Care of the aged,Asistencia a los ancianos,36256
32247,Career monographs,Descripciones de profesiones,
32248,Cargo,Carga,
32249,Cargo ships,Buques de carga,36037
32250,Caribank,caribank,31815
32251,Caribbean,Caribe,31817
32252,Caribbean sea,Mar caribe,35153
32253,Caricom,caricom,31815
32254,Carifta,carifta,31815
32255,Caris,Caris,34177
32256,Carisplan,carisplan,34177
32258,Carpets,Alfombras,
32259,Carriers,Transportistas,
32261,Cartels,Carteles,34917
32263,Case studies,Estudios de casos,35861
32264,Cash flow,Ingreso en efectivo,35635
32266,Cashew nuts,Castañas de CAJU,32373
32267,Cassava,Yuca,35934
32269,Cassette recordings,Grabaciones en casete,36910
32270,Castes,Castas,36259
32271,Castings,Coladas,34795
32272,Casual workers,Trabajadores ocasionales,31980
32273,Catalan language,Lengua catalana,35929
32274,Catalogues,Catálogos,36077
32275,Cataloguing,Catalogación,32950
32276,Catalytic converters,Convertidores catalíticos,
32277,Catering,Abastecimiento,
32278,Catholic church,Iglesia católica,35680
32279,Catholicism,Catolicismo,32358
32280,Catholics,Católicos,32359
32281,Cattle,Ganado vacuno,34559
32282,Cattle production,Ganadería,31841
32284,Caucasian languages,Lenguas caucásicas,36326
32285,Causes of death,Causas de muerte,
32286,Caustic soda,Soda caustica,
32287,Cayman islands,Islas caimán,32251
32288,Ccc,Consejo de cooperación aduanera,34262
32289,Cdcc,CDCC,33015
32290,Cdp,Comité de planificación del desarrollo,33029
32291,Celibacy,Celibato,
32292,Cells,Células,
32293,Cellulose,Celulosa,32237
32294,Celtic languages,Lenguas celtas,34080
32295,Cement,Cemento,32575
32296,Cement industry,Industria del cemento,32574
32297,Cemla,CEMLA,31815
32298,Censorship,Censura,32485
32299,Censuses,Censos,32771
32300,Central africa,África central,31680
32301,Central african republic,República centroafricana,32300
32302,Central america,América central,34472
32303,Central american indian languages,Lenguas indias centroamericanas,31818
32304,Central banks,Bancos centrales,34089
32306,Central government,Gobierno central,34567
32307,Centralization,Centralización,
32308,Ceramics,Cerámicas,32575
32309,Ceramics industry,Industria cerámica,32574
32310,Cereals,Cereales,35322
32311,Cern,CERN,33318
32312,Certificates,Certificados,
32314,Cfc,CFC,33706
32315,Cfni,CFNI,35856
32316,Chad,Chad,32300
32317,Chadians,Chadianos,
32318,Chambers of commerce,Cámaras de comercio,
32319,Charcoal,Carbón de lena,37052
32320,Charting,Cartografiá marina,34664
32321,Charts,Cartas marinas,34665
32322,Cheese,Queso,32757
32323,Chemical analysis,Análisis químico,
32324,Chemical contraceptives,Anticonceptivos químicos,
32325,Chemical engineering,Ingeniería química,34674
32326,Chemical fertilizers,Fertilizantes químicos,31705
32327,Chemical industry,Industria química,33879
32328,Chemical pollution,Contaminación química,36627
32329,Chemical properties,Propiedades químicas,
32330,Chemicals,Productos químicos,34126
32331,Chemistry,Química,35000
32332,Chemists,Químicos,36055
32333,Cherries,Cerezas,32373
32334,Chickpeas,Garbanzos,33772
32335,Child abuse,Abuso de menores,35226
32336,Child care,Ayuda a la infancia,
32337,Child development,Desarrollo del niño,
32338,Child labour,Trabajo de menores,34419
32339,Child mortality,Mortalidad en la niñez,34282
32340,Child rearing,Puericultura,
32341,Child survival,Supervivencia infantil,34282
32342,Childhood,Infancia,
32343,Children,Niños,31687
32344,Children's rights,Derechos del niño,33972
32345,Chile,Chile,31829
32346,Chileans,Chilenos,
32347,China,China,33005
32348,China sea,Mar de china,35153
32349,Chinese,Chinos,
32350,Chinese language,Lengua china,36181
32351,Chlorides,Cloruros,35993
32352,Chlorine,Cloro,35068
32354,Chocolate,Chocolate,35322
32355,Choice of products,Elección de productos,
32356,Choice of technology,Elección de tecnología,
32357,Cholera,Cólera,34153
32358,Christianity,Cristianismo,35826
32359,Christians,Cristianos,
32360,Chromium,Cromo,35064
32361,Chromosomes,Cromosomas,
32362,Chronic diseases,Enfermedades crónicas,36765
32363,Chronology,Cronología,
32364,Church,Iglesia,35830
32365,Ciat,CIAT,35856
32366,Cida,ACDI,31769
32367,Cimmyt,CIMMYT,35856
32368,Cinema,Cine,32965
32369,Circumcision,Circuncisión,
32370,Citations,Citas,34162
32373,Citrus fruits,Frutas cítricas,33676
32374,Civic education,Educación cívica,32017
32375,Civic service,Servicio cívico,
32377,Civil engineering,Ingeniería civil,34674
32378,Civil law,Derecho civil,35703
32379,Civil liability,Responsabilidad civil,36383
32380,Civil liberties,Libertades civiles,31611
32381,Civil registration,Registro civil,
32382,Civil rights,Derechos civiles,33972
32383,Civil servants,Funcionarios,
32384,Civil service,Función publica,
32385,Civil war,Guerra civil,35112
32386,Civilization,Civilización,
32387,Clacso,CLACSO,31815
32388,Clades,CLADES,33015
32389,Clan,Clan,35829
32390,Clandestine employment,Trabajo clandestino,35949
32391,Class consciousness,Conciencia de clase,
32392,Class struggle,Lucha de clases,34232
32393,Classes,Clases,35829
32394,Classification,Clasificación,32950
32395,Clays,Arcillas,35067
32396,Cleaning agents,Productos de limpieza,
32397,Clearing agreements,Acuerdos de compensación,34897
32398,Clearing systems,Sistemas de compensación,
32399,Clergy,Clero,35633
32401,Climate,Clima,
32402,Climatic influence,Influencia climática,
32404,Climatic zones,Zonas climáticas,
32405,Climatology,Climatología,34804
32406,Clothing,Vestuario,32588
32407,Clothing industry,Industria del vestuario,34537
32408,Cmea,CAME,33318
32409,Coal,Carbón,33645
32410,Coal gas,Gas de alumbrado,33645
32411,Coal gasification,Gasificación del carbón,33707
32413,Coal liquefaction,licuefaccion del carbón,34545
32414,Coal mining,Minería del carbón,34869
32416,Coastal fishery,Pesca costera,34676
32417,Coastal plains,Llanuras costeras,34557
32418,Coastal pollution,Contaminación del litoral,36627
32419,Coastal waters,Aguas costeras,
32420,Coasts,Costas,34444
32421,Coating,Revestimiento,34123
32422,Cobalt,Cobalto,35064
32423,Cocaine,Cocaína,32982
32424,Cocoa,Cacao,34098
32425,Coconut palms,Cocoteros,33675
32426,Coconuts,Cocos,32373
32427,Cocos islands,Islas cocos,35151
32428,Codes,Códigos,
32429,Codesria,codeiesa,35066
32430,Coeducational schools,Escuelas mixtas,35117
32431,Coffee,Café,34098
32432,Coir,Fibra de coco,33840
32433,Coke,Coque,
32434,Cold season,Estación fría,36074
